obs,neg_p_values_lag_one,neg_p_values_lag_two,neg_p_values_lag_three,neg_p_values_lag_four,neg_p_values_lag_five
"2004-01-05 00:0",0,0,0,0,0
"2004-01-06 00:0",0,0,0,0,0
"2004-01-07 00:0",0,0,0,0,0
"2004-01-08 00:0",0,0,0,0,0
"2004-01-09 00:0",0,0,0,0,0
"2004-01-12 00:0",0,0,0,0,0
"2004-01-13 00:0",0,0,0,0,0
"2004-01-14 00:0",0,0,0,0,0
"2004-01-15 00:0",0,0,0,0,0
"2004-01-16 00:0",0,0,0,0,0
"2004-01-20 00:0",0,0,0,0,0
"2004-01-21 00:0",0,0,0,0,0
"2004-01-22 00:0",0,0,0,0,0
"2004-01-23 00:0",0,0,0,0,0
"2004-01-26 00:0",0,0,0,0,0
"2004-01-27 00:0",0,0,0,0,0
"2004-01-28 00:0",0,0,0,0,0
"2004-01-29 00:0",0,0,0,0,0
"2004-01-30 00:0",0,0,0,0,0
"2004-02-02 00:0",0,0,0,0,0
"2004-02-03 00:0",0,0,0,0,0
"2004-02-04 00:0",0,0,0,0,0
"2004-02-05 00:0",0,0,0,0,0
"2004-02-06 00:0",0,0,0,0,0
"2004-02-09 00:0",0,0,0,0,0
"2004-02-10 00:0",0,0,0,0,0
"2004-02-11 00:0",0,0,0,0,0
"2004-02-12 00:0",0,0,0,0,0
"2004-02-13 00:0",0,0,0,0,0
"2004-02-17 00:0",0,0,0,0,0
"2004-02-18 00:0",0,0,0,0,0
"2004-02-19 00:0",0,0,0,0,0
"2004-02-20 00:0",0,0,0,0,0
"2004-02-23 00:0",0,0,0,0,0
"2004-02-24 00:0",0,0,0,0,0
"2004-02-25 00:0",0,0,0,0,0
"2004-02-26 00:0",0,0,0,0,0
"2004-02-27 00:0",0,0,0,0,0
"2004-03-01 00:0",0,0,0,0,0
"2004-03-02 00:0",0,0,0,0,0
"2004-03-03 00:0",0,0,0,0,0
"2004-03-04 00:0",0,0,0,0,0
"2004-03-05 00:0",0,0,0,0,0
"2004-03-08 00:0",0,0,0,0,0
"2004-03-09 00:0",0,0,0,0,0
"2004-03-10 00:0",0,0,0,0,0
"2004-03-11 00:0",0,0,0,0,0
"2004-03-12 00:0",0,0,0,0,0
"2004-03-15 00:0",0,0,0,0,0
"2004-03-16 00:0",0,0,0,0,0
"2004-03-17 00:0",0,0,0,0,0
"2004-03-18 00:0",0,0,0,0,0
"2004-03-19 00:0",0,0,0,0,0
"2004-03-22 00:0",0,0,0,0,0
"2004-03-23 00:0",0,0,0,0,0
"2004-03-24 00:0",0,0,0,0,0
"2004-03-25 00:0",0,0,0,0,0
"2004-03-26 00:0",0,0,0,0,0
"2004-03-29 00:0",0,0,0,0,0
"2004-03-30 00:0",0,0,0,0,0
"2004-03-31 00:0",0,0,0,0,0
"2004-04-01 00:0",0,0,0,0,0
"2004-04-02 00:0",0,0,0,0,0
"2004-04-05 00:0",0,0,0,0,0
"2004-04-06 00:0",0,0,0,0,0
"2004-04-07 00:0",0,0,0,0,0
"2004-04-08 00:0",0,0,0,0,0
"2004-04-12 00:0",0,0,0,0,0
"2004-04-13 00:0",0,0,0,0,0
"2004-04-14 00:0",0,0,0,0,0
"2004-04-15 00:0",0,0,0,0,0
"2004-04-16 00:0",0,0,0,0,0
"2004-04-19 00:0",0,0,0,0,0
"2004-04-20 00:0",0,0,0,0,0
"2004-04-21 00:0",0,0,0,0,0
"2004-04-22 00:0",0,0,0,0,0
"2004-04-23 00:0",0,0,0,0,0
"2004-04-26 00:0",0,0,0,0,0
"2004-04-27 00:0",0,0,0,0,0
"2004-04-28 00:0",0,0,0,0,0
