obs,pos_t_ratios,neg_t_ratios,med_vol_t_ratios
"2003-01-02 00:0",0,0,0
"2003-01-03 00:0",0,0,0
"2003-01-06 00:0",0,0,0
"2003-01-07 00:0",0,0,0
"2003-01-08 00:0",0,0,0
"2003-01-09 00:0",0,0,0
"2003-01-10 00:0",0,0,0
"2003-01-13 00:0",0,0,0
"2003-01-14 00:0",0,0,0
"2003-01-15 00:0",0,0,0
"2003-01-16 00:0",0,0,0
"2003-01-17 00:0",0,0,0
"2003-01-21 00:0",0,0,0
"2003-01-22 00:0",0,0,0
"2003-01-23 00:0",0,0,0
"2003-01-24 00:0",0,0,0
"2003-01-27 00:0",0,0,0
"2003-01-28 00:0",0,0,0
"2003-01-29 00:0",0,0,0
"2003-01-30 00:0",0,0,0
"2003-01-31 00:0",0,0,0
"2003-02-03 00:0",0,0,0
"2003-02-04 00:0",0,0,0
"2003-02-05 00:0",0,0,0
"2003-02-06 00:0",0,0,0
"2003-02-07 00:0",0,0,0
"2003-02-10 00:0",0,0,0
"2003-02-11 00:0",0,0,0
"2003-02-12 00:0",0,0,0
"2003-02-13 00:0",0,0,0
"2003-02-14 00:0",0,0,0
"2003-02-18 00:0",0,0,0
"2003-02-19 00:0",0,0,0
"2003-02-20 00:0",0,0,0
"2003-02-21 00:0",0,0,0
"2003-02-24 00:0",0,0,0
"2003-02-25 00:0",0,0,0
"2003-02-26 00:0",0,0,0
"2003-02-27 00:0",0,0,0
"2003-02-28 00:0",0,0,0
"2003-03-03 00:0",0,0,0
"2003-03-04 00:0",0,0,0
"2003-03-05 00:0",0,0,0
"2003-03-06 00:0",0,0,0
"2003-03-07 00:0",0,0,0
"2003-03-10 00:0",0,0,0
"2003-03-11 00:0",0,0,0
"2003-03-12 00:0",0,0,0
"2003-03-13 00:0",0,0,0
"2003-03-14 00:0",0,0,0
"2003-03-17 00:0",0,0,0
"2003-03-18 00:0",0,0,0
"2003-03-19 00:0",0,0,0
"2003-03-20 00:0",0,0,0
"2003-03-21 00:0",0,0,0
"2003-03-24 00:0",0,0,0
"2003-03-25 00:0",0,0,0
"2003-03-26 00:0",0,0,0
"2003-03-27 00:0",0,0,0
"2003-03-28 00:0",0,0,0
"2003-03-31 00:0",0,0,0
"2003-04-01 00:0",0,0,0
"2003-04-02 00:0",0,0,0
"2003-04-03 00:0",0,0,0
"2003-04-04 00:0",0,0,0
"2003-04-07 00:0",0,0,0
"2003-04-08 00:0",0,0,0
"2003-04-09 00:0",0,0,0
"2003-04-10 00:0",0,0,0
"2003-04-11 00:0",0,0,0
"2003-04-14 00:0",0,0,0
"2003-04-15 00:0",0,0,0
"2003-04-16 00:0",0,0,0
"2003-04-17 00:0",0,0,0
"2003-04-21 00:0",0,0,0
"2003-04-22 00:0",0,0,0
"2003-04-23 00:0",0,0,0
"2003-04-24 00:0",0,0,0
"2003-04-25 00:0",0,0,0
"2003-04-28 00:0",0,0,0
"2003-04-29 00:0",0,0,0
"2003-04-30 00:0",0,0,0
"2003-05-01 00:0",0,0,0
"2003-05-02 00:0",0,0,0
"2003-05-05 00:0",0,0,0
"2003-05-06 00:0",0,0,0
"2003-05-07 00:0",0,0,0
"2003-05-08 00:0",0,0,0
"2003-05-09 00:0",0,0,0
"2003-05-12 00:0",0,0,0
"2003-05-13 00:0",0,0,0
"2003-05-14 00:0",0,0,0
"2003-05-15 00:0",0,0,0
"2003-05-16 00:0",0,0,0
"2003-05-19 00:0",0,0,0
"2003-05-20 00:0",0,0,0
"2003-05-21 00:0",0,0,0
